chloride;schwefeldioxid
0.076;34
0.098;67
0.092;54
0.075;60
0.076;34
0.075;40
0.069;59
0.065;21
0.073;18
0.071;102
0.097;65
0.071;102
0.089;59
0.114;29
0.176;145
0.17;148
0.092;103
0.368;56
0.086;29
0.341;56
0.077;60
0.082;71
0.106;37
0.084;67
0.085;40
0.08;23
0.08;11
0.106;37
0.08;35
0.082;16
0.089;82
0.105;37
0.083;113
0.073;83
0.103;50
0.086;18
0.086;15
0.066;30
0.172;19
0.074;87
0.074;87
0.088;46
0.332;14
0.069;23
0.05;11
0.054;65
0.114;114
0.113;37
0.066;12
0.074;96
0.074;23
0.069;15
0.068;14
0.081;119
0.11;73
0.084;45
0.07;10
0.111;110
0.076;54
0.074;46
0.079;52
0.115;112
0.085;35
0.081;54
0.086;11
0.086;11
0.079;39
0.076;15
0.074;65
0.074;19
0.076;27
0.088;96
0.084;94
0.084;43
0.094;83
0.093;42
0.093;42
0.104;30
0.086;80
0.08;119
0.069;15
0.464;67
0.086;73
0.401;51
0.069;61
0.076;40
0.11;136
0.062;31
0.107;125
0.076;24
0.079;140
0.11;136
0.11;133
0.062;31
0.045;85
0.058;106
0.102;23
0.07;22
0.079;10
0.08;35
0.084;50
0.075;22
0.08;35
0.077;65
0.07;36
0.077;65
0.467;69
0.088;64
0.091;80
0.122;153
0.104;47
0.084;108
0.085;111
0.08;46
0.104;47
0.09;62
0.077;40
0.082;28
0.119;56
0.097;89
0.178;89
0.119;56
0.075;13
0.08;34
0.082;102
0.146;90
0.081;12
0.082;12
0.065;16
0.072;19
0.118;134
0.049;99
0.049;99
0.06;26
0.084;29
0.09;63
0.089;52
0.081;45
0.081;105
0.081;108
0.09;63
0.089;52
0.05;63
0.066;20
0.05;63
0.117;141
0.087;94
0.236;88
0.074;30
0.089;43
0.077;11
0.61;69
0.095;99
0.095;99
0.07;129
0.071;128
0.07;129
0.071;128
0.073;22
0.079;86
0.09;20
0.072;20
0.076;31
0.07;121
0.07;121
0.1;96
0.085;101
0.072;42
0.089;44
0.36;63
0.058;8
0.073;18
0.073;18
0.068;42
0.08;35
0.085;49
0.08;35
0.087;38
0.068;20
0.067;42
0.067;42
0.27;110
0.076;42
0.077;65
0.079;62
0.111;85
0.082;67
0.084;26
0.084;143
0.082;144
0.077;127
0.074;49
0.099;126
0.071;28
0.071;28
0.074;120
0.074;55
0.067;27
0.046;93
0.061;31
0.056;24
0.097;145
0.075;49
0.088;39
0.089;37
0.095;28
0.095;28
0.069;120
0.1;95
0.054;19
0.039;19
0.083;62
0.059;15
0.06;65
0.092;41
0.06;121
0.101;49
0.072;41
0.076;44
0.08;144
0.082;58
0.101;72
0.057;10
0.083;28
0.089;55
0.073;63
0.337;81
0.089;23
0.073;63
0.081;37
0.054;106
0.078;49
0.09;58
0.081;37
0.065;37
0.097;38
0.097;38
0.097;39
0.097;38
0.065;37
0.263;62
0.093;24
0.102;109
0.075;24
0.075;24
0.084;23
0.075;51
0.072;73
0.074;39
0.084;23
0.063;37
0.074;34
0.09;21
0.092;86
0.074;34
0.073;119
0.075;13
0.075;56
0.611;45
0.085;33
0.077;45
0.087;67
0.07;35
0.077;49
0.064;27
0.071;10
0.096;61
0.078;37
0.077;27
0.104;23
0.087;61
0.104;23
0.071;65
0.076;38
0.088;94
0.087;61
0.077;27
0.104;23
0.073;13
0.087;47
0.071;19
0.358;10
0.067;53
0.087;47
0.102;71
0.102;71
0.073;49
0.092;53
0.091;49
0.105;98
0.091;49
0.343;18
0.091;48
0.098;16
0.094;53
0.073;27
0.086;70
0.083;29
0.094;31
0.08;33
0.086;44
0.068;15
0.092;28
0.186;21
0.112;90
0.063;25
0.082;54
0.213;14
0.214;12
0.062;30
0.063;25
0.072;105
0.093;98
0.076;135
0.087;72
0.096;53
0.102;92
0.082;74
0.083;59
0.082;74
0.083;59
0.09;87
0.079;18
0.09;73
0.071;50
0.071;50
0.121;14
0.107;13
0.082;21
0.061;15
0.122;41
0.122;41
0.066;114
0.105;44
0.078;38
0.128;21
0.052;16
0.08;58
0.103;99
0.082;29
0.066;21
0.065;18
0.118;14
0.118;14
0.082;32
0.067;63
0.072;34
0.093;15
0.089;46
0.093;28
0.107;34
0.096;26
0.09;19
0.12;77
0.066;165
0.078;32
0.08;55
0.116;29
0.109;23
0.088;41
0.099;81
0.086;50
0.072;37
0.071;15
0.083;42
0.107;21
0.083;42
0.076;24
0.159;75
0.074;18
0.063;63
0.056;25
0.067;46
0.106;72
0.089;47
0.124;15
0.078;47
0.074;18
0.088;24
0.094;60
0.08;27
0.085;43
0.08;27
0.08;27
0.087;54
0.09;37
0.088;48
0.079;42
0.088;53
0.096;49
0.045;88
0.085;43
0.082;26
0.112;95
0.063;25
0.066;38
0.122;124
0.087;49
0.087;49
0.064;42
0.122;124
0.059;38
0.085;64
0.085;41
0.075;27
0.059;25
0.063;28
0.093;30
0.174;16
0.07;49
0.08;86
0.08;78
0.1;77
0.097;19
0.087;122
0.117;134
0.111;20
0.091;124
0.121;20
0.066;52
0.089;67
0.059;48
0.047;60
0.066;24
0.047;60
0.059;48
0.045;48
0.077;32
0.07;30
0.088;35
0.066;24
0.074;66
0.078;24
0.091;18
0.076;54
0.091;18
0.06;62
0.066;22
0.076;54
0.062;50
0.072;29
0.068;27
0.1;43
0.077;19
0.054;27
0.079;31
0.081;72
0.127;16
0.1;27
0.095;35
0.095;35
0.413;26
0.084;35
0.084;22
0.063;67
0.086;19
0.095;22
0.097;65
0.084;22
0.074;47
0.083;23
0.087;19
0.085;25
0.098;129
0.084;15
0.098;26
0.069;51
0.065;18
0.09;21
0.07;48
0.093;47
0.081;52
0.083;68
0.062;14
0.08;24
0.087;28
0.091;16
0.075;20
0.087;28
0.077;31
0.069;23
0.08;17
0.152;18
0.152;18
0.114;24
0.054;17
0.054;17
0.053;14
0.081;67
0.073;26
0.078;56
0.055;25
0.052;27
0.086;81
0.051;91
0.07;16
0.081;38
0.09;113
0.07;16
0.086;81
0.081;38
0.074;76
0.074;76
0.078;24
0.077;22
0.072;26
0.075;21
0.084;13
0.09;62
0.084;43
0.073;43
0.09;62
0.125;49
0.107;15
0.107;15
0.122;151
0.1;14
0.2;16
0.088;32
0.088;106
0.088;33
0.088;43
0.099;133
0.085;142
0.086;116
0.105;53
0.088;106
0.097;85
0.084;55
0.077;33
0.078;28
0.098;42
0.098;42
0.072;33
0.102;32
0.078;28
0.077;33
0.084;13
0.066;35
0.1;17
0.101;47
0.064;17
0.07;20
0.085;53
0.075;15
0.094;106
0.078;28
0.067;21
0.079;69
0.171;25
0.074;25
0.092;45
0.092;44
0.05;96
0.095;23
0.095;23
0.118;17
0.095;23
0.118;17
0.085;47
0.075;19
0.078;121
0.094;110
0.092;60
0.085;47
0.075;19
0.226;15
0.226;15
0.25;20
0.095;42
0.07;37
0.095;42
0.075;28
0.07;47
0.078;78
0.079;46
0.103;14
0.083;111
0.085;110
0.063;40
0.089;14
0.089;14
0.083;15
0.074;21
0.093;80
0.091;38
0.094;47
0.108;102
0.06;50
0.059;13
0.084;75
0.07;149
0.084;75
0.094;43
0.096;38
0.086;109
0.059;24
0.071;18
0.078;30
0.082;22
0.088;23
0.071;35
0.081;14
0.071;35
0.096;63
0.085;24
0.072;20
0.092;52
0.11;65
0.075;39
0.083;57
0.081;16
0.077;29
0.058;29
0.148;103
0.079;71
0.079;71
0.079;28
0.122;17
0.088;16
0.076;112
0.078;104
0.08;32
0.077;45
0.124;58
0.124;58
0.098;15
0.098;15
0.097;31
0.111;84
0.097;31
0.105;19
0.087;43
0.105;86
0.073;102
0.065;33
0.086;147
0.084;145
0.143;23
0.067;57
0.071;40
0.071;68
0.071;40
0.071;68
0.071;40
0.115;11
0.107;20
0.07;14
0.066;28
0.068;148
