chloride;schwefeldioxid
0.045;170
0.049;132
0.05;97
0.058;186
0.058;186
0.05;97
0.045;136
0.045;170
0.049;132
0.044;129
0.033;63
0.035;109
0.04;75
0.044;143
0.04;172
0.032;112
0.046;99
0.029;75
0.033;171
0.044;133
0.029;75
0.038;102
0.049;122
0.074;168
0.052;142
0.046;245
0.052;146
0.051;141
0.047;132
0.033;114
0.044;142
0.042;47
0.05;100
0.045;117
0.044;179
0.08;123
0.051;149
0.053;138
0.057;149
0.057;149
0.172;158
0.173;157
0.069;160
0.057;152
0.06;154
0.058;167
0.063;206
0.066;207
0.069;160
0.067;150
0.062;173
0.068;124
0.057;82
0.045;108
0.147;132
0.039;191
0.043;213
0.048;147
0.044;78
0.038;111
0.092;123
0.048;147
0.035;151
0.044;78
0.038;122
0.064;120
0.04;124
0.041;174
0.046;96
0.05;105
0.056;244
0.061;238.5
0.063;201
0.054;72
0.046;96
0.05;105
0.043;87
0.042;69
0.064;103
0.06;105
0.053;114
0.05;166
0.063;164
0.047;207
0.045;155
0.044;152
0.044;156
0.05;202
0.045;155
0.044;152
0.044;156
0.049;243
0.035;136
0.034;136
0.04;148
0.044;240
0.046;164
0.034;80
0.038;83
0.046;164
0.06;192
0.054;162
0.05;164
0.059;170
0.06;192
0.051;109
0.054;162
0.04;171
0.04;171
0.051;187
0.082;163
0.052;255
0.056;195
0.049;150
0.049;150
0.065;103
0.041;143
0.035;85
0.056;195
0.06;196
0.046;87
0.054;138
0.059;131
0.058;146
0.092;158
0.026;143
0.033;126
0.038;203
0.044;179
0.046;184
0.02;57
0.038;203
0.038;241
0.035;188
0.034;203
0.036;179
0.027;121
0.045;155
0.035;96
0.029;79
0.045;77
0.045;155
0.039;107
0.036;99
0.037;87
0.04;114
0.044;168
0.058;97
0.034;80
0.054;116
0.043;152
0.055;135
0.054;116
0.048;97
0.049;76
0.066;198
0.066;198
0.036;124
0.036;119
0.036;119
0.036;124
0.055;159
0.049;85
0.066;198
0.05;205
0.051;177
0.048;197
0.034;98
0.055;151
0.034;110
0.066;133
0.045;96
0.037;100
0.038;130
0.051;173
0.04;151
0.044;65
0.054;170
0.06;108
0.049;176
0.048;173
0.053;183
0.048;167
0.05;227
0.043;226
0.043;230
0.04;166
0.038;119
0.034;109
0.047;210
0.052;211
0.048;167
0.045;123
0.055;125
0.2;181
0.197;180
0.197;183
0.052;214
0.05;204
0.052;214
0.049;196
0.05;204
0.05;236
0.034;134
0.053;114
0.042;153
0.045;126
0.049;124
0.04;77
0.048;170
0.032;68
0.038;111
0.045;126
0.051;122
0.03;105
0.044;152
0.036;164
0.044;152
0.044;167
0.036;161
0.036;164
0.07;172
0.03;105
0.043;144
0.046;140
0.046;145
0.048;200
0.041;272
0.048;200
0.046;145
0.062;142
0.041;194
0.039;208
0.058;194
0.058;194
0.058;194
0.058;194
0.044;221
0.037;120
0.039;159
0.05;197
0.031;90
0.026;100
0.047;218.5
0.043;142
0.038;249.5
0.03;139
0.031;77
0.03;76
0.037;119
0.053;199
0.074;197
0.043;142
0.029;109
0.054;158
0.04;147
0.035;97
0.035;97
0.032;118
0.037;75
0.048;108
0.043;156
0.036;95
0.045;231
0.038;167
0.043;156
0.053;180
0.043;149
0.044;145
0.045;147
0.053;180
0.044;147
0.051;148
0.057;123
0.046;234
0.046;169
0.044;166
0.042;60
0.044;67
0.036;105
0.034;112
0.039;114
0.047;201
0.054;196
0.055;198
0.056;180
0.053;190
0.058;192
0.058;192
0.058;192
0.058;192
0.041;155
0.066;195
0.041;157
0.066;182
0.046;175
0.045;169
0.041;187
0.046;146
0.043;122
0.063;87
0.05;74
0.063;87
0.055;168
0.057;163
0.057;163
0.058;163
0.058;166
0.036;134
0.037;148
0.035;100
0.032;164
0.042;149
0.038;166
0.04;167
0.132;127
0.031;134
0.031;135
0.03;133
0.04;69
0.041;65
0.031;135
0.031;134
0.031;137
0.046;207
0.057;313
0.04;216
0.039;143
0.042;195
0.036;85
0.03;101
0.032;135
0.033;91
0.038;133
0.031;80
0.033;91
0.036;105
0.045;170
0.047;139
0.049;141
0.045;153
0.047;129
0.044;140
0.053;144
0.052;145
0.05;131
0.031;68
0.056;155
0.052;118
0.054;137
0.044;146
0.038;138
0.071;128
0.038;138
0.047;245
0.063;191
0.063;191
0.05;169
0.05;152
0.04;161
0.047;162
0.055;84
0.05;127
0.063;191
0.037;102
0.028;113
0.089;143
0.053;148
0.049;178
0.044;72
0.053;148
0.049;178
0.048;204
0.048;149
0.027;89
0.027;89
0.037;119
0.045;98
0.049;155
0.037;119
0.045;98
0.046;179
0.051;157
0.048;149
0.027;125
0.027;89
0.026;115
0.04;260
0.047;140
0.032;181
0.032;181
0.031;66
0.031;125
0.021;69
0.044;163
0.04;168
0.031;93
0.037;107
0.048;168
0.032;83
0.037;107
0.044;163
0.069;108
0.046;252
0.035;170
0.04;168
0.031;99
0.049;125
0.044;116
0.031;93
0.038;155
0.04;140
0.036;85
0.036;85
0.038;155
0.04;140
0.041;99
0.047;210
0.041;99
0.05;137
0.03;136
0.045;222
0.045;221
0.045;221
0.047;162
0.045;222
0.045;221
0.053;194
0.051;89
0.056;197
0.053;194
0.048;84
0.045;214
0.108;151
0.028;104
0.027;97
0.042;218.5
0.035;186
0.045;214
0.06;108
0.028;102
0.033;137
0.026;126
0.048;245
0.031;139
0.038;66
0.054;156
0.048;113
0.048;113
0.052;127
0.07;174
0.038;128
0.042;160
0.046;113
0.052;127
0.048;113
0.022;82
0.056;111
0.053;218.5
0.059;249
0.056;111
0.047;171
0.047;162
0.044;68
0.047;178
0.081;126
0.039;141
0.044;68
0.047;178
0.047;182
0.039;158
0.036;200
0.023;86
0.034;132
0.03;102
0.029;227
0.028;105
0.037;115
0.073;165
0.041;164
0.043;172
0.047;104
0.044;137
0.043;172
0.346;200
0.028;117
0.025;117
0.035;90
0.045;180
0.047;177
0.035;70
0.032;65
0.039;182
0.022;158
0.04;103
0.025;173
0.041;189
0.026;147
0.04;174
0.041;189
0.045;200
0.038;164
0.038;210
0.037;210
0.053;140
0.053;140
0.09;135
0.048;170
0.039;152
0.048;170
0.041;138
0.042;167
0.04;141
0.025;55
0.036;115
0.051;167
0.055;154
0.045;154
0.05;78
0.048;41
0.039;143
0.039;143
0.038;101
0.033;96
0.038;72
0.114;140
0.04;29
0.034;116
0.031;104
0.03;112
0.048;103
0.186;150
0.067;178
0.067;178
0.067;178
0.047;171
0.047;171
0.067;178
0.045;61
0.053;211
0.04;175
0.05;192
0.045;167
0.036;148
0.047;162
0.04;149
0.039;172
0.052;87
0.044;127
0.05;192
0.05;168
0.026;93
0.028;118
0.05;168
0.028;118
0.026;93
0.046;160
0.049;137
0.044;165
0.047;144
0.049;150
0.057;128
0.063;184
0.046;135
0.066;165
0.059;99
0.051;37
0.048;153
0.05;154
0.04;179
0.051;194
0.038;107
0.047;181
0.032;151
0.035;138
0.047;185
0.047;187
0.033;153
0.038;107
0.034;134
0.051;194
0.042;111
0.056;168
0.042;81
0.046;134
0.042;81
0.049;157
0.034;136
0.036;121
0.04;136
0.059;148
0.037;119
0.043;152
0.03;131
0.03;131
0.051;140
0.043;152
0.034;127
0.036;115
0.036;55
0.18;160
0.045;106
0.03;131
0.03;131
0.052;134
0.052;134
0.049;158
0.049;158
0.044;161
0.061;94
0.037;119
0.032;95
0.047;133
0.045;133
0.045;133
0.047;133
0.037;101
0.051;195
0.051;190
0.057;135
0.084;222
0.083;171
0.043;141
0.045;64
0.066;128
0.039;130
0.096;177
0.048;228
0.048;228
0.036;99
0.05;144
0.05;144
0.04;131
0.045;187
0.033;150
0.027;140
0.037;133
0.053;148
0.046;198
0.046;197
0.047;127
0.054;189
0.046;179
0.05;163
0.051;166
0.058;166
0.061;151
0.05;146
0.041;190
0.067;189
0.067;189
0.067;189
0.067;189
0.053;134
0.048;138
0.03;117
0.028;95
0.05;136
0.052;188
0.038;234.5
0.049;86
0.032;133
0.094;188
0.049;86
0.052;182
0.056;130
0.036;195
0.052;182
0.047;173
0.047;211
0.058;199
0.038;101
0.039;150
0.038;130
0.047;206
0.056;201
0.057;224
0.033;94
0.033;94
0.033;94
0.043;159
0.058;171
0.052;165
0.24;174
0.052;183
0.051;201
0.043;114
0.29;193
0.044;222
0.039;125
0.043;136
0.037;198
0.036;191
0.036;185
0.041;225
0.047;198
0.022;94
0.039;204
0.039;204
0.042;204
0.042;197
0.03;135
0.042;84
0.038;110
0.037;115
0.032;41
0.041;218
0.046;166
0.05;130
0.044;98
0.046;172
0.035;128
0.035;128
0.04;213
0.038;187
0.038;150
0.048;221
0.042;157
0.038;150
0.042;127
0.053;178
0.046;182
0.032;128
0.02;89
0.028;122
0.041;136
0.038;114
0.057;101
0.043;157
0.185;188
0.042;139
0.044;240
0.022;49
0.052;183
0.04;191
0.038;129
0.052;183
0.04;191
0.021;142
0.038;129
0.022;19
0.031;57
0.03;136
0.034;152
0.041;160
0.022;113
0.033;253
0.024;177
0.049;176
0.025;175
0.024;177
0.036;167
0.038;160
0.033;253
0.11;138
0.032;107
0.056;175
0.051;178
0.051;136
0.047;134
0.049;176
0.05;173
0.057;247
0.039;128
0.042;168
0.05;135
0.078;238
0.028;46
0.043;113
0.043;113
0.045;120
0.13;140
0.135;144
0.039;172
0.035;124
0.115;104
0.039;98
0.052;197
0.053;178
0.053;145
